store,date,l_count,l_sales,l_avg,d_count,d_sales,d_avg,to_count,to_sales,bq_count,bq_sales,bg_count,bg_sales,at_count,at_sales,ryb_count,ryb_sales,event_count,event_sales,total_count,total_sales
BQ,2025-10-26,12,98340,8195,7,94050,13436,0,0,0,0,0,0,2,8800,80,100650,0,0,101,301840
BQ,2025-10-27,2,19470,9735,4,28000,7000,0,0,0,0,0,0,0,0,55,95250,0,0,61,142720
BQ,2025-10-28,13,98430,7572,5,97240,19448,0,0,0,0,0,0,0,0,60,76350,0,0,78,272020
BQ,2025-10-29,10,64460,6446,2,71720,35860,0,0,0,0,0,0,0,0,66,90750,0,0,78,226930
BQ,2025-10-30,17,156530,9208,0,0,0,0,0,0,0,0,0,0,0,78,106900,0,0,95,263430
BQ,2025-10-31,8,68860,8608,2,52330,26165,0,0,0,0,0,0,0,0,116,159000,0,0,126,280190
BQ,2025-11-01,6,65010,10835,15,298100,19873,0,0,0,0,0,0,0,0,75,110230,0,0,96,473340
BQ,2025-11-02,9,73920,8213,7,103730,14819,0,0,0,0,0,0,2,8800,100,139500,0,0,118,325950
BQ,2025-11-03,9,73700,8189,8,176440,22055,0,0,0,0,0,0,2,8800,92,186050,0,0,111,444990
BQ,2025-11-04,20,182540,9127,8,200860,25108,0,0,0,0,0,0,0,0,46,67530,0,0,74,450930
BQ,2025-11-05,2,10780,5390,6,146960,24493,0,0,0,0,0,0,0,0,55,87000,0,0,63,244740
BQ,2025-11-06,5,33880,6776,0,0,0,0,0,0,0,0,0,0,0,52,67850,0,0,57,101730
BQ,2025-11-07,2,14960,7480,9,124960,13884,0,0,0,0,0,0,0,0,116,117830,0,0,127,257750
BQ,2025-11-08,17,116050,6826,8,190270,23784,0,0,0,0,0,0,2,8800,82,108730,0,0,109,423850
BQ,2025-11-09,16,135740,8484,0,0,0,0,0,0,0,0,0,4,17600,71,87450,0,0,91,240790
BQ,2025-11-10,4,37400,9350,4,78430,19608,0,0,0,0,0,0,6,28600,51,102650,0,0,65,247080
BQ,2025-11-11,9,72160,8018,0,0,0,0,0,0,0,0,0,0,0,53,74980,0,0,62,147140
BQ,2025-11-12,7,49280,7040,9,170790,18977,0,0,0,0,0,0,0,0,64,90830,0,0,80,310900
BQ,2025-11-13,4,41030,10258,2,50050,25025,0,0,0,0,0,0,3,14520,50,68000,0,0,59,173600
BQ,2025-11-14,11,68970,6270,3,60500,20167,0,0,0,0,0,0,0,0,120,124090,0,0,134,253560
BQ,2025-11-15,10,81840,8184,3,54450,18150,0,0,0,0,0,0,5,24200,79,109050,0,0,97,269540
BQ,2025-11-16,9,98890,10988,9,119130,13237,0,0,0,0,0,0,4,22000,50,76350,0,0,72,316370
BQ,2025-11-17,5,25520,5104,23,361000,15696,0,0,0,0,0,0,0,0,50,70600,0,0,78,457120
BQ,2025-11-18,11,75790,6890,2,41910,20955,0,0,0,0,0,0,0,0,64,95900,0,0,77,213600
BQ,2025-11-19,10,64350,6435,0,0,0,0,0,0,0,0,0,0,0,55,78150,0,0,65,142500
BQ,2025-11-20,6,43450,7242,5,105710,21142,0,0,0,0,0,0,4,17600,43,64800,0,0,58,231560
BQ,2025-11-21,4,45760,11440,19,247000,13000,0,0,0,0,0,0,2,8800,148,157100,0,0,173,458660
BQ,2025-11-22,15,121880,8125,17,369300,21724,0,0,0,0,0,0,2,8800,116,137950,0,0,150,637930
BQ,2025-11-23,24,356950,14873,6,108240,18040,0,0,0,0,0,0,8,39600,131,178950,0,0,169,683740
BQ,2025-11-24,18,122540,6808,7,184630,26376,0,0,0,0,0,0,2,8800,85,118930,0,0,112,434900
BQ,2025-11-25,18,150040,8336,24,314080,13087,0,0,0,0,0,0,0,0,44,64300,0,0,86,528420
BQ,2025-11-26,14,81370,5812,6,107360,17893,0,0,0,0,0,0,0,0,72,100680,0,0,92,289410
BQ,2025-11-27,6,43010,7168,0,0,0,0,0,0,0,0,0,2,11000,55,91750,0,0,63,145760
BQ,2025-11-28,9,51260,5696,10,125340,12534,0,0,0,0,0,0,0,0,113,115030,0,0,132,291630
BQ,2025-11-29,10,71940,7194,15,317130,21142,0,0,0,0,0,0,4,17600,109,165400,0,0,138,572070
BQ,2025-11-30,10,100980,10098,0,0,0,0,0,0,0,0,0,2,11000,83,103400,0,0,95,215380
BQ,2025-12-01,4,26950,6738,12,298310,24859,0,0,0,0,0,0,0,0,45,68080,0,0,61,393340
BQ,2025-12-02,5,50490,10098,13,274010,21078,0,0,0,0,0,0,0,0,54,64750,0,0,72,389250
BQ,2025-12-03,13,150370,11567,0,0,0,0,0,0,0,0,0,0,0,60,74250,0,0,73,224620
BQ,2025-12-04,5,30360,6072,2,32400,16200,0,0,0,0,0,0,3,13200,60,79800,0,0,70,155760
BQ,2025-12-05,15,124850,8323,12,366570,30548,0,0,0,0,0,0,4,20130,115,118650,0,0,146,630200
BQ,2025-12-06,6,75570,12595,6,157410,26235,0,0,0,0,0,0,1,4400,119,149500,0,0,132,386880
BQ,2025-12-07,15,138270,9218,4,83050,20762,0,0,0,0,0,0,0,0,85,129400,0,0,104,350720
BQ,2025-12-08,8,75790,9474,12,436480,36373,0,0,0,0,0,0,2,8800,53,71400,0,0,75,592470
BQ,2025-12-09,6,40920,6820,14,253330,18095,0,0,0,0,0,0,2,8800,61,85800,0,0,83,388850
BQ,2025-12-10,5,42130,8426,4,84480,21120,0,0,0,0,0,0,0,0,82,102250,0,0,91,228860
BQ,2025-12-11,3,28160,9387,2,37950,18975,0,0,0,0,0,0,0,0,56,81500,0,0,61,147610
BQ,2025-12-12,12,87010,7251,17,345840,20344,0,0,0,0,0,0,0,0,161,161510,0,0,190,594360
BQ,2025-12-13,15,112750,7517,18,438570,24365,0,0,0,0,0,0,4,19800,133,170460,0,0,170,741580
BQ,2025-12-14,17,154550,9091,9,209550,23283,0,0,0,0,0,0,0,0,82,117400,0,0,108,481500
BQ,2025-12-15,14,119790,8556,12,180000,15000,0,0,0,0,0,0,0,0,49,70300,0,0,75,370090
